title,company,location,time,url
Senior Data Analyst,PayFit France,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/senior-data-analyst-at-payfit-france-3648770011?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=7dF7uVYEwbB1X%2BhBE2DJ8A%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analytics Consultant - Barcelona,Making Science,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analytics-consultant-barcelona-at-making-science-3611947552?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=mHhnkVjhH3EItuv%2F5Xq9%2FA%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Prácticas como Data Analyst & CRO,ARKANA - La empresa de las Apps,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/pr%C3%A1cticas-como-data-analyst-cro-at-arkana-la-empresa-de-las-apps-3623027096?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=Dq53gbw7JdIjV6Y0ysoY6g%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst It · Barcelona (Aplicar En 3 Minutos),Malthus Darwin,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/data-analyst-it-%C2%B7-barcelona-aplicar-en-3-minutos-at-malthus-darwin-3657765327?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=1v0XACSlWvHi0Gd%2BZYxPXg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Intelligence Analyst - Sector Financiero,Winning,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/business-intelligence-analyst-sector-financiero-at-winning-3650760815?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=AqZVmHULcydJT2kkEKb8Ng%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst 40% Remoto,Page Personnel,Barcelona y alrededores,Hace 4 días,https://es.linkedin.com/jobs/view/senior-data-analyst-40%25-remoto-at-page-personnel-3657208153?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=gSmOimr0WkM%2FRZ%2BUGr3PjQ%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Revenue Intelligence Analyst,Innovamat,Sant Cugat del Vallès,Hace 1 mes,https://es.linkedin.com/jobs/view/revenue-intelligence-analyst-at-innovamat-3651637467?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=C0UNhOciqojvEp1Np%2FZFMg%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - Marketing Analytics,Back Market,Barcelona,Hace 4 días,https://es.linkedin.com/jobs/view/senior-data-analyst-marketing-analytics-at-back-market-3655590359?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=nnz%2Br84FE9K1Kv2bkMnVCQ%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Marketing data analyst,Antal International,Barcelona,Hace 1 hora,https://es.linkedin.com/jobs/view/senior-marketing-data-analyst-at-antal-international-3659212840?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=CgmDQnXnlZBvvxZl9wudEw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Analista Business Intelligence (2 días teletrabajo),Mystery Project,Terrassa,Hace 1 mes,https://es.linkedin.com/jobs/view/analista-business-intelligence-2-d%C3%ADas-teletrabajo-at-mystery-project-3606873739?refId=3CTUzeccfFXvdNcERFLVNQ%3D%3D&trackingId=DM6tMCoBLbGasVXnKsqggQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
