Unnamed: 0,title,company,location,time,url
98,Staff Data Analyst,Kiwi.com,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/staff-data-analyst-at-kiwi-com-3649977456?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=g5n2UzD54uLPJJig0PtU3Q%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
99,Analista de datos (CRO),snowball,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/analista-de-datos-cro-at-snowball-3651628424?refId=G8EBCqd7W0LWALoiGpYczg%3D%3D&trackingId=iwCA3nUekf3IABpopg4P2Q%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
100,Data Analyst,Coniq,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-coniq-3652827423?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=CtHhJ%2Fe3ZQTxs8KZpryElw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
101,Data Visualization Analyst,Experfy,Barcelona,Hace 3 meses,https://es.linkedin.com/jobs/view/data-visualization-analyst-at-experfy-3590307510?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=hmlgSCWUij5C%2BZKWpUt7ew%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
102,Data Analyst,Exoticca,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-exoticca-3622172076?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=3GZscsX9zD59S9Vn5eLvNA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
103,Data Analyst,VISEO IBERIA,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/data-analyst-at-viseo-iberia-3621431253?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=QePAkJaIuk83PnXMw1Cx%2BQ%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
104,Data Analyst,Sanofi,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-sanofi-3651426366?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=Td%2F3%2B2jIybGQJ6WZ3If8fg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
105,Data Analyst,Birchman Group Spain,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-birchman-group-spain-3597191582?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=X79L9c5L2eIMZL%2FI%2F7j01g%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
106,Data Analyst - Tableau / PHARMA,Hays,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-tableau-pharma-at-hays-3647696075?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=ak9Xn0mqJoMty6q01mcTmQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
107,Data Analyst - QA Tester,Experfy,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-qa-tester-at-experfy-3646112530?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=FjJV9g1H6ZYTZwQNh9pSoA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
108,Data Analyst,Proton | Privacy by Default,Barcelona,Hace 3 días,https://es.linkedin.com/jobs/view/data-analyst-at-proton-privacy-by-default-3655234899?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=0mSlK1ZdYZE8NPqwZN7K2Q%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
109,Analista Visualización de Datos,Hays,Barcelona,Hace 5 días,https://es.linkedin.com/jobs/view/analista-visualizaci%C3%B3n-de-datos-at-hays-3652086149?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=rgo0Thq8fjWqzEZ5EzPunA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
110,Data Analyst,Wallapop,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-wallapop-3641794492?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=rX%2Bk670kQqXiVgRUhgaZxA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
111,Data Analyst,Optimissa,Cornellà de Llobregat,Hace 2 días,https://es.linkedin.com/jobs/view/data-analyst-at-optimissa-3655380382?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=eZev51iE2CtVCncOUPNNCA%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
112,Data Analyst,Agap2 España,Sant Cugat del Vallès,Hace 3 días,https://es.linkedin.com/jobs/view/data-analyst-at-agap2-espa%C3%B1a-3655229201?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=fL9UFBCgwjKXb4DW8vdBXA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
113,BECARIO/A DATA ANALYST CLIENTE,MANGO,Barcelona,Hace 4 semanas,https://es.linkedin.com/jobs/view/becario-a-data-analyst-cliente-at-mango-3654863732?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=kn1SFccQJjQbqjcvyXGweg%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
114,"Data Analyst - Barcelona, España",Triangle Talent - Solutions RRHH (España),Barcelona,Hace 20 horas,https://es.linkedin.com/jobs/view/data-analyst-barcelona-espa%C3%B1a-at-triangle-talent-solutions-rrhh-espa%C3%B1a-3658333032?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=xBYuAFQ4xuWGQE8oOC943g%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
115,Senior Data Analyst,TravelPerk,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/senior-data-analyst-at-travelperk-3612708323?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=gOLMIkqTjZsDP8viwrhPxQ%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
116,Business Data Analyst,Lyreco España,Cornellà de Llobregat,Hace 3 días,https://es.linkedin.com/jobs/view/business-data-analyst-at-lyreco-espa%C3%B1a-3601557391?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=Z%2B3aM7w3FNA6d68bIJXAug%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
117,Analista de Datos con MicroStrategy y Power BI (f/m),T-Systems Iberia,Barcelona,Hace 2 días,https://es.linkedin.com/jobs/view/analista-de-datos-con-microstrategy-y-power-bi-f-m-at-t-systems-iberia-3654441361?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=la06bHRHozsDAts3IqHaaw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
118,Marketing Data Analyst (Junior),Grupo Planeta,Hospitalet de Llobregat,Hace 2 semanas,https://es.linkedin.com/jobs/view/marketing-data-analyst-junior-at-grupo-planeta-3639519589?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=vpNRad8kiwvc132iPkiDlw%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
119,Data Analyst,Sunhero,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/data-analyst-at-sunhero-3645233332?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=mJ%2FhIIpAtBzbGfHq7yNYmw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
120,Marketing Data Analyst,Contentsquare,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/marketing-data-analyst-at-contentsquare-3630238515?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=AwyhcuTxCE%2BXHiTmvifmhw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
121,Data Analyst,Grupo Planeta,Hospitalet de Llobregat,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-grupo-planeta-3596696248?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=eE9VOBiJnXdNFP003K8gWA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
122,Data Analyst,HOLA CONSULTORES SL,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-hola-consultores-sl-3622098728?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=L%2B1NA%2FE50T%2B1g%2FUXNLFirQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
123,Data Analyst,HOLA CONSULTORES SL,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-hola-consultores-sl-3624462514?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=QmKObcSv24v3cqIsb7tq9g%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
124,Data Governance Analyst,Cognodata,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/data-governance-analyst-at-cognodata-3641903494?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=iq4ZtgoLUDKe7d96pW2OZg%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
125,Data Analyst,Coniq,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-at-coniq-3652827423?refId=LmHLqc2XCC2YJGeJ%2BOJlfw%3D%3D&trackingId=CtHhJ%2Fe3ZQTxs8KZpryElw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
