title,company,location,time,url
Business Analyst,Fagron,Barcelona,Hace 1 día,https://es.linkedin.com/jobs/view/business-analyst-at-fagron-3659742827?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=7U9zkdYlEVwPmGK%2Fu5dC8A%3D%3D&position=19&pageNum=1&trk=public_jobs_jserp-result_search-card
Marketing Data Analyst,Contentsquare,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/marketing-data-analyst-at-contentsquare-3630238515?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=0ygUO%2F%2BnMX1lLzVXA%2BMNmg%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card
Revenue Intelligence Analyst,Innovamat,Sant Cugat del Vallès,Hace 1 mes,https://es.linkedin.com/jobs/view/revenue-intelligence-analyst-at-innovamat-3651637467?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=sQsn1OdOrF1C4WROzaFbMA%3D%3D&position=21&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Grupo Planeta,Hospitalet de Llobregat,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-grupo-planeta-3596696248?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=eLYE225L4DiKi06QTWDluw%3D%3D&position=22&pageNum=1&trk=public_jobs_jserp-result_search-card
Python Developer with SQL,Avanade,Barcelona,Hace 5 horas,https://es.linkedin.com/jobs/view/python-developer-with-sql-at-avanade-3656368063?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=ouOX37kkoSWbZICtCYPLLQ%3D%3D&position=23&pageNum=1&trk=public_jobs_jserp-result_search-card
Product Data Analyst - Logistics - Supply&Demand (They/She/He),Glovo,Barcelona y alrededores,Hace 1 semana,https://es.linkedin.com/jobs/view/product-data-analyst-logistics-supply-demand-they-she-he-at-glovo-3646697703?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=0bxw%2FXAGZyyf748mc7rAIQ%3D%3D&position=24&pageNum=1&trk=public_jobs_jserp-result_search-card
European Data Analyst,Diversey,Viladecans,Hace 1 mes,https://es.linkedin.com/jobs/view/european-data-analyst-at-diversey-3613020010?refId=glYvdy7Au%2FAD2HOYzGTRWA%3D%3D&trackingId=WMrGqCoqqYNOxhw8D1MSWw%3D%3D&position=25&pageNum=1&trk=public_jobs_jserp-result_search-card
Data Analyst,Agap2 España,Sant Cugat del Vallès,Hace 6 días,https://es.linkedin.com/jobs/view/data-analyst-at-agap2-espa%C3%B1a-3655229201?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=R3hBnk9e2JgvLCPHr3pdeA%3D%3D&position=1&pageNum=2&trk=public_jobs_jserp-result_search-card
Procurement Data Analyst,Allianz Technology,Barcelona,Hace 4 semanas,https://es.linkedin.com/jobs/view/procurement-data-analyst-at-allianz-technology-3632195074?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=N2bE8kNLDwRG%2FKWYKjGWUQ%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card
Marketing Data Scientist,HP,Sant Cugat del Vallès,Hace 1 mes,https://es.linkedin.com/jobs/view/marketing-data-scientist-at-hp-3603176633?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=A4o4CeBYU76h%2BxIEJWAHBw%3D%3D&position=3&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Intelligence / Data Analyst (m/f/d),TecAlliance,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/business-intelligence-data-analyst-m-f-d-at-tecalliance-3640066164?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=Vd9gEumYZKYs1F9I%2FbNXdw%3D%3D&position=4&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Scientist | Farm Heroes Saga,King,Barcelona,Hace 4 días,https://es.linkedin.com/jobs/view/data-scientist-farm-heroes-saga-at-king-3658269985?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=YZHg5VyhlR5Fvn4oIM2SKg%3D%3D&position=5&pageNum=2&trk=public_jobs_jserp-result_search-card
Junior Big Data Engineer (Tech Support) - Google Cloud Platform,Webhelp,Barcelona,Hace 2 horas,https://es.linkedin.com/jobs/view/junior-big-data-engineer-tech-support-google-cloud-platform-at-webhelp-3660767813?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=qtcL2rpTIr9EIpBBNCjimg%3D%3D&position=6&pageNum=2&trk=public_jobs_jserp-result_search-card
Reporting and Analytics CSSD Business Analyst Graduate,HP,Sant Cugat del Vallès,Hace 1 mes,https://es.linkedin.com/jobs/view/reporting-and-analytics-cssd-business-analyst-graduate-at-hp-3614238138?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=3M0Ut6kzAhA%2FD1SonRGvAg%3D%3D&position=7&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer,Lawrence Harvey,Barcelona,Hace 7 horas,https://es.linkedin.com/jobs/view/data-engineer-at-lawrence-harvey-3656348522?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=OxZqDgGlrfw5yeFI7aBJ8A%3D%3D&position=8&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Scientist,Sanofi,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-scientist-at-sanofi-3618770132?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=a5qOkQ3v1nZrIoYK493nOw%3D%3D&position=9&pageNum=2&trk=public_jobs_jserp-result_search-card
Analytics Consultant,Deloitte,Barcelona,Hace 3 horas,https://es.linkedin.com/jobs/view/analytics-consultant-at-deloitte-3660745069?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=xRECJ%2B9fMlbzozrERQyEkw%3D%3D&position=10&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Analyst,Paper Street Media,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/business-analyst-at-paper-street-media-3627578133?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=CuWnapUYgEchargDYEr2Fg%3D%3D&position=11&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Intelligence Engineer,Sopra Steria,Barcelona y alrededores,Hace 8 horas,https://es.linkedin.com/jobs/view/business-intelligence-engineer-at-sopra-steria-3660124834?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=qCkdFht%2FW5OPNti5nOmAJg%3D%3D&position=12&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Analyst Intern (6 months),Heetch,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/business-analyst-intern-6-months-at-heetch-3631642727?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=kso%2FAaxWcydrYZAITbWmdg%3D%3D&position=13&pageNum=2&trk=public_jobs_jserp-result_search-card
Metadata Analyst,Schneider Electric,Barcelona,Hace 3 meses,https://es.linkedin.com/jobs/view/metadata-analyst-at-schneider-electric-3576082466?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=NKeUhMjSDe3VkeyZHwsg3Q%3D%3D&position=14&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - B2B (f/m/d),FREENOW,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/senior-data-analyst-b2b-f-m-d-at-freenow-3648912415?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=Csz2KMwjx4vYOj6HRblLdA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Engineer,Holaluz.com,Barcelona,Hace 16 horas,https://es.linkedin.com/jobs/view/data-engineer-at-holaluz-com-3660504191?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=AH%2FXBGpXvfe8iECEAIWdeQ%3D%3D&position=16&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,Zurich Insurance,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/senior-data-analyst-at-zurich-insurance-3640266367?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=KafUQMovALGzp4cE5abdoQ%3D%3D&position=17&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,MANGO,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/senior-data-analyst-at-mango-3640479673?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=s46K5jaoa7FbVJGxfNjTlw%3D%3D&position=18&pageNum=2&trk=public_jobs_jserp-result_search-card
Becario/a Analista de Datos,Grupo Planeta,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/becario-a-analista-de-datos-at-grupo-planeta-3639526028?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=fYu%2FIxBuOFR4JJPlspAXhQ%3D%3D&position=19&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst,MANGO,Barcelona,Hace 3 semanas,https://es.linkedin.com/jobs/view/senior-data-analyst-at-mango-3639779311?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=uaHTBAT7KLqO2OLZz84N9g%3D%3D&position=20&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst - QA Tester,Experfy,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-qa-tester-at-experfy-3646112530?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=tCBBz%2BusI%2BXNGmCMkpOkMg%3D%3D&position=21&pageNum=2&trk=public_jobs_jserp-result_search-card
Data Analyst & Planon Administrator – Global Real Estate,Schneider Electric,Barcelona,Hace 1 mes,https://es.linkedin.com/jobs/view/data-analyst-planon-administrator-%E2%80%93-global-real-estate-at-schneider-electric-3619158733?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=nQpApluglm7oEuht6g%2FRJA%3D%3D&position=22&pageNum=2&trk=public_jobs_jserp-result_search-card
ES- DATA ANALYST (inglés alto),Devoteam,Barcelona,Hace 2 días,https://es.linkedin.com/jobs/view/es-data-analyst-ingl%C3%A9s-alto-at-devoteam-3597204508?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=wTSqBl%2F7GebDMnhQFId6%2Bg%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card
Business Analyst (E-Commerce),FUT-URE Recruitment and Technology,Barcelona,Hace 2 semanas,https://es.linkedin.com/jobs/view/business-analyst-e-commerce-at-fut-ure-recruitment-and-technology-3647057798?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=LD14cqTnkZzBfxlzSsjO1Q%3D%3D&position=24&pageNum=2&trk=public_jobs_jserp-result_search-card
Analista Visualización de Datos,Hays,Barcelona,Hace 2 horas,https://es.linkedin.com/jobs/view/analista-visualizaci%C3%B3n-de-datos-at-hays-3652086149?refId=cn51FShT1IUoTWzYpuVskg%3D%3D&trackingId=TjYFR5FQl8Ki5Buo%2FcnGXQ%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card
Senior Data Analyst - Growth (They/She/He),Glovo,Barcelona,Hace 4 días,https://es.linkedin.com/jobs/view/senior-data-analyst-growth-they-she-he-at-glovo-3614803215?refId=DuzWU%2FPpkc78Sgq3yCL4EA%3D%3D&trackingId=Lr0BnIoeli4RoAp9T%2Bnvrw%3D%3D&position=1&pageNum=3&trk=public_jobs_jserp-result_search-card
Senior marketing Data Analyst,Antal International,Barcelona,Hace 4 días,https://es.linkedin.com/jobs/view/senior-marketing-data-analyst-at-antal-international-3656531741?refId=DuzWU%2FPpkc78Sgq3yCL4EA%3D%3D&trackingId=RTRNoDhVwWcKlQI8p%2FQJyw%3D%3D&position=2&pageNum=3&trk=public_jobs_jserp-result_search-card
Data Analyst,Birchman Group Spain,Barcelona,Hace 2 meses,https://es.linkedin.com/jobs/view/data-analyst-at-birchman-group-spain-3597191582?refId=DuzWU%2FPpkc78Sgq3yCL4EA%3D%3D&trackingId=5%2BoWzxpduGPmuxDJ2cGWGA%3D%3D&position=3&pageNum=3&trk=public_jobs_jserp-result_search-card
Business Analyst (E-Commerce) (Aplica Ya),FUT-URE Recruitment and Technology,Barcelona,Hace 1 semana,https://es.linkedin.com/jobs/view/business-analyst-e-commerce-aplica-ya-at-fut-ure-recruitment-and-technology-3652628405?refId=DuzWU%2FPpkc78Sgq3yCL4EA%3D%3D&trackingId=Dl7CBhPZh%2BV3pfAR6UeZjw%3D%3D&position=4&pageNum=3&trk=public_jobs_jserp-result_search-card
